name,latitude,longitude,room_type,price
a room with a view in Amsterdam,52.37087,4.91014,Private room,137.0
Modern spacious two floor apartment with garden,52.384147,4.8491909,Entire home/apt,
Spacious Apartment near Westerpark,52.39051,4.87076,Entire home/apt,208.0
NoorderPark,52.39285,4.92456,Entire home/apt,125.0
Modern and exclusive room with free PP and bikes,52.35896,4.81951,Private room,113.0
Centre Ams - Welcome to your Home away from Home,52.38778,4.88848,Private room,75.0
Beautiful & Well-located Canalhouse,52.36314010620117,4.89803409576416,Entire home/apt,
Spacious family home in Amsterdam (families only),52.34825,4.93682,Entire home/apt,161.0
Amsterdam windmill,52.36709,4.79332,Private room,130.0
Beautiful two floor penthouse,52.38922,4.88043,Entire home/apt,233.0
Modern Apt in Relaxed/Quiet Area,52.3538,4.93565,Entire home/apt,
"Great house, 10 min to Centre",52.40294,4.90568,Entire home/apt,
Luxury apt in central Amsterdam,52.36255,4.88683,Entire home/apt,338.0
Nice top floor Appartment in Centre,52.3692,4.92534,Entire home/apt,120.0
Amazing apartment with canal view!,52.37381,4.87296,Entire home/apt,
"Stijlvol appartement, begane grond, nabij centrum",52.36608,4.86301,Entire home/apt,
"Great apt Pijp, next to Rijksmuseum",52.35664,4.8899,Entire home/apt,
Unique & Spacious House | Near City Center,52.39336,4.87779,Entire home/apt,
"Real Dutch, Cozy & Gezellig for 2 @ City Centre",52.37291,4.88124,Entire home/apt,
Elegant royal room with private bathroom and bikes,52.35896,4.81951,Private room,113.0
Cosy Apartment near westerpark,52.38324,4.85573,Entire home/apt,
Colorful and spacious apartment in great area,52.35977,4.90936,Entire home/apt,162.0
"Sunny side of Amsterdam, Westerpark",52.38754,4.88702,Entire home/apt,
Beautiful apartment in a prime location!,52.35582,4.89172,Entire home/apt,540.0
"2 very clean, cozy and private Rooms for max.4 P.",52.35896,4.81951,Private room,225.0
Comfortable bedroom in 9 streets,52.37104,4.88724,Private room,162.0
Bright Waterfront Studio Apartment,52.38914,4.88525,Entire home/apt,
Comfortable room - central + WIFI,52.36373,4.93306,Private room,92.0
Luxury studio on the Herengracht,52.36991,4.88717,Entire home/apt,252.0
17th Century Monumental House with Garden,52.38659,4.8895,Entire home/apt,540.0
canal-view flat (cozy minimalist style),52.36676,4.86285,Entire home/apt,256.0
Canalhouse : Room in 200m2 shared House,52.37303,4.89592,Private room,
"Space&privacy in the city! Fire place, big garden",52.36807,4.93449,Entire home/apt,487.0
"NDSM Amsterdam North, for families",52.4069,4.90168,Entire home/apt,215.0
** PERFECT location: metro Europaplein - 2 BR**,52.34383,4.89273,Entire home/apt,
Beautiful design apt with ☀️ garden in lovely BoLo!,52.38393,4.84977,Entire home/apt,169.0
Stay in Amsterdam like a local.,52.36407,4.94169,Entire home/apt,249.0
lovely houseboat with large terrace,52.365177154541016,4.869557857513428,Entire home/apt,
Oud-West/Jordaan with canal view,52.36908,4.87198,Entire home/apt,
Charming apartment!,52.37484,4.86096,Entire home/apt,
Amst (2-4p) - familyhouse for art & design lovers,52.35818,4.91959,Entire home/apt,275.0
Spacious apartment in vibrant neighbourhood,52.38745,4.91972,Entire home/apt,405.0
Spacious apt 15 min from center,52.37701,4.85753,Entire home/apt,
Cosy appartment near vondelpark.,52.351593625824215,4.850583408148314,Entire home/apt,360.0
